n,flops
438,2.95255e+09
439,2.8769e+09
440,2.96247e+09
441,2.89021e+09
442,2.88895e+09
443,2.9241e+09
444,2.91638e+09
445,2.97382e+09
446,2.92174e+09
447,2.86299e+09
448,2.91283e+09
449,2.5194e+09
450,2.5088e+09
451,2.45104e+09
452,2.51604e+09
453,2.53033e+09
454,2.50834e+09
455,2.45458e+09
456,2.44444e+09
457,2.52204e+09
458,2.47596e+09
459,2.53916e+09
460,2.48078e+09
461,2.37416e+09
462,2.50153e+09
463,2.49292e+09
464,2.45641e+09
465,2.4726e+09
466,2.21522e+09
467,2.5255e+09
468,2.46249e+09
469,2.47869e+09
470,2.42883e+09
471,2.43988e+09
472,2.41598e+09
473,2.44722e+09
474,2.3203e+09
475,2.46782e+09
476,2.42407e+09
477,2.46229e+09
478,2.49411e+09
479,2.45916e+09
480,2.43136e+09
481,2.49904e+09
482,2.52331e+09
483,2.41872e+09
484,2.21236e+09
485,2.49134e+09
486,2.41505e+09
487,2.44456e+09
488,2.41192e+09
489,2.40327e+09
490,2.41114e+09
491,2.45604e+09
492,2.48658e+09
493,2.44489e+09
494,2.47653e+09
495,2.42901e+09
496,2.49071e+09
497,2.40287e+09
498,2.48231e+09
499,2.4995e+09
500,2.43532e+09
501,2.33256e+09
502,2.49978e+09
503,2.46137e+09
504,2.46789e+09
505,2.49346e+09
506,2.44061e+09
507,2.40851e+09
508,2.50858e+09
509,2.46146e+09
510,2.48494e+09
511,2.4299e+09
512,2.4897e+09
